"education-summary.put-code","education-summary.department-name","education-summary.role-title","education-summary.url","education-summary.external-ids","education-summary.display-index","education-summary.visibility","education-summary.path","education-summary.created-date.value","education-summary.last-modified-date.value","education-summary.source.source-client-id","education-summary.source.assertion-origin-orcid","education-summary.source.assertion-origin-client-id","education-summary.source.assertion-origin-name","education-summary.source.source-orcid.uri","education-summary.source.source-orcid.path","education-summary.source.source-orcid.host","education-summary.source.source-name.value","education-summary.start-date.day","education-summary.start-date.year.value","education-summary.start-date.month.value","education-summary.end-date.day","education-summary.end-date.year.value","education-summary.end-date.month.value","education-summary.organization.name","education-summary.organization.address.city","education-summary.organization.address.region","education-summary.organization.address.country","education-summary.organization.disambiguated-organization.disambiguated-organization-identifier","education-summary.organization.disambiguated-organization.disambiguation-source","education-summary.start-date.day.value","education-summary.end-date.day.value","education-summary.organization.disambiguated-organization","when","why"
16657513,NA,"Microdegree Artificial intelligence @home",NA,NA,"1","public","/0000-0001-7938-7188/education/16657513",1640268426482,1640268426482,NA,NA,NA,NA,"https://orcid.org/0000-0001-7938-7188","0000-0001-7938-7188","orcid.org","Nick Meulemeester",NA,"2020","10",NA,"2021","06","Hogeschool West-Vlaanderen","Kortrijk",NA,"BE","71336","RINGGOLD",NA,NA,NA,"2020 - 2021","Machine and deep learning courses from the Bachelor Multimedia en Creatieve Technologie (MCT)- elective track AI engineer in distance learning."
6563202,NA,"Bachlor Bio-informatics",NA,NA,"1","public","/0000-0001-7938-7188/education/6563202",1539078520822,1539078520822,NA,NA,NA,NA,"https://orcid.org/0000-0001-7938-7188","0000-0001-7938-7188","orcid.org","Nick Meulemeester",NA,"2008","10",NA,"2011","06","Hogeschool West-Vlaanderen","Brugge",NA,"BE","71336","RINGGOLD","01","30",NA,"2008 - 2011","An interdisciplinary science course that combines domains as biology, 
  computer science and information engineering to 
  analyze and interpret biological data."
8580345,NA,"Biotechnological sciences",NA,NA,"1","public","/0000-0001-7938-7188/education/8580345",1567460471622,1567461306375,NA,NA,NA,NA,"https://orcid.org/0000-0001-7938-7188","0000-0001-7938-7188","orcid.org","Nick Meulemeester",NA,"2004","09",NA,"2008","06","VLTI","Torhout",NA,"BE",NA,NA,"01","30",NA,"2004 - 2008","A scientific course with the focus on biology, chemistry and applied mathematics."
8580350,NA,"Modern sciences",NA,NA,"1","public","/0000-0001-7938-7188/education/8580350",1567460570949,1567461321632,NA,NA,NA,NA,"https://orcid.org/0000-0001-7938-7188","0000-0001-7938-7188","orcid.org","Nick Meulemeester",NA,"2002","09",NA,"2004","06","Sint-Martinus instituut ","Koekelare",NA,"BE",NA,NA,"01","30",NA,"2002 - 2004","A broad, general education with the focus on sciences and mathematics."
